#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
881,8.962782e+01,-7.921095e-01,-3.816696e-01,-9.584175e-01,-7.685785e-02,-6.431433e-01,9.645963e-02,-2.407287e-01,6.120388e-01,-4.678137e-01,-7.328236e-01,6.884604e-01,1.099698e-01
882,8.715453e+01,-8.204128e-01,-1.057884e-01,-8.517067e-01,9.313780e-02,-4.619353e-01,3.348667e-01,-1.151052e-01,4.384739e-01,-6.080750e-01,-6.605200e-01,5.720139e-01,1.567913e-02
883,8.432762e+01,-7.924088e-01,-2.444233e-01,-7.874138e-01,8.606640e-04,-4.929695e-01,6.634400e-02,-2.474079e-01,4.492771e-01,-4.277187e-01,-5.920701e-01,7.205191e-01,4.491438e-02
884,8.667274e+01,-7.650094e-01,-2.272270e-01,-8.809751e-01,1.738092e-02,-4.996891e-01,1.121518e-01,-1.438677e-01,5.654326e-01,-5.552679e-01,-5.470168e-01,7.228836e-01,6.884432e-02
885,8.603393e+01,-6.385647e-01,-1.241834e-01,-9.453571e-01,1.454772e-01,-5.390367e-01,3.623555e-01,-1.807948e-01,5.086918e-01,-4.763245e-01,-6.997603e-01,7.473789e-01,7.967351e-02
886,8.314488e+01,-7.256206e-01,-1.640854e-01,-8.916655e-01,-4.863668e-02,-4.129755e-01,2.637858e-01,-2.127175e-01,3.967754e-01,-5.305408e-01,-7.234861e-01,3.660744e-01,-9.938763e-02
887,7.881258e+01,-7.897198e-01,-2.155649e-01,-9.499042e-01,1.145595e-01,-6.664994e-01,2.731257e-01,-1.282615e-01,5.978067e-01,-6.410533e-01,-5.397268e-01,6.813880e-01,7.645350e-02
888,9.306582e+01,-7.416647e-01,-1.778473e-01,-9.850551e-01,7.177803e-02,-5.071606e-01,3.332500e-01,-4.107193e-01,5.442633e-01,-4.557973e-01,-8.403443e-01,5.334299e-01,-1.695866e-01
889,7.769036e+01,-9.302398e-01,-2.587383e-01,-9.370784e-01,-1.888401e-01,-5.824144e-01,1.708172e-01,-4.062499e-01,6.527951e-01,-3.887844e-01,-7.206503e-01,4.284006e-01,4.365990e-02
890,8.513099e+01,-7.982747e-01,-2.483418e-01,-9.623185e-01,-2.577300e-02,-6.128429e-01,2.068678e-01,-2.457780e-01,6.706255e-01,-4.366402e-01,-6.652509e-01,5.691739e-01,1.387194e-02
891,9.260467e+01,-7.838522e-01,-1.560114e-01,-7.122753e-01,-1.846223e-02,-5.555279e-01,2.702064e-01,3.863527e-02,4.500472e-01,-5.111571e-01,-7.095733e-01,6.544900e-01,2.955999e-01
892,8.928057e+01,-6.271518e-01,-2.255425e-01,-8.305645e-01,5.603732e-02,-4.166009e-01,3.146672e-01,-2.869282e-01,5.556327e-01,-4.496699e-01,-6.361532e-01,6.226374e-01,-1.314176e-01
893,8.515486e+01,-8.351575e-01,-2.343414e-01,-8.779889e-01,4.700302e-02,-4.267186e-01,2.672400e-01,-5.133276e-01,6.623600e-01,-2.334920e-01,-8.161308e-01,6.120184e-01,-1.928036e-02
894,8.619545e+01,-5.887604e-01,-2.603053e-01,-7.684866e-01,-2.606016e-02,-4.403883e-01,9.663644e-02,-1.708829e-01,4.884603e-01,-5.325362e-01,-6.466521e-01,5.690152e-01,6.798893e-02
895,8.130864e+01,-7.513755e-01,-2.605954e-01,-9.592840e-01,4.138169e-02,-6.381314e-01,2.118686e-01,-2.358981e-01,4.223053e-01,-4.495033e-01,-6.926395e-01,6.555053e-01,-9.271561e-02
