#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
90,1.888994e+01,1.087201e-01,3.927573e-01,-7.684917e-02,1.586766e-01,-1.468921e-01,3.791508e-01,-2.174838e-01,-2.893476e-01,2.652056e-03,-4.930107e-01,1.050140e-01,-2.117702e-01
91,2.389681e+01,5.730770e-02,3.281201e-01,1.533208e-01,2.387218e-01,-2.206247e-01,1.339237e-01,-2.161406e-01,2.176547e-02,2.475362e-01,-6.814529e-02,-1.448697e-01,-1.563417e-01
92,2.590977e+01,3.879951e-01,4.048517e-01,-2.441165e-01,2.904241e-01,-4.159552e-01,3.522887e-01,-7.862958e-01,-6.258299e-02,-3.821047e-01,-1.095500e-01,1.522350e-02,3.303097e-02
93,2.140618e+01,2.861451e-01,-2.895240e-03,1.253741e-01,2.595304e-01,-6.959889e-01,2.438066e-01,-5.363559e-01,-4.085655e-01,2.377315e-01,-2.645366e-01,2.742983e-02,-4.374630e-01
94,2.031047e+01,3.735798e-01,5.951577e-01,-1.550545e-01,-3.666039e-01,-1.447574e-02,7.340576e-01,-2.770336e-01,-6.882315e-01,-8.793154e-02,-4.234878e-01,-4.628872e-01,2.067362e-02
95,2.542410e+01,5.283111e-01,5.306838e-01,2.855000e-03,7.829025e-02,-3.730647e-01,4.119919e-01,-3.824939e-01,-1.966512e-02,-1.869515e-01,-5.497982e-01,2.178911e-01,-1.753120e-01
96,2.580387e+01,6.698690e-01,5.340916e-01,-4.934743e-02,3.138922e-01,-5.220607e-01,5.037967e-01,-3.516815e-01,-2.475400e-01,4.363641e-02,-4.316311e-01,8.034646e-02,-1.616944e-01
97,2.662909e+01,4.087923e-01,2.990200e-01,-6.236409e-02,9.194893e-02,-4.583836e-01,2.329673e-01,-4.467046e-01,-5.905048e-01,3.595036e-02,-4.085058e-01,1.403099e-01,6.456643e-02
98,2.489231e+01,4.383719e-01,3.788971e-01,-8.457526e-02,2.368821e-01,-8.064225e-01,5.063414e-01,-7.283229e-01,-1.602914e-01,-2.884532e-01,-3.873206e-01,-2.075813e-01,-2.406984e-01
99,2.387901e+01,3.907749e-01,8.977531e-02,7.918982e-01,7.516152e-02,-2.897327e-01,1.878677e-01,-8.163715e-01,-9.748476e-02,-2.017989e-01,-5.806472e-01,-1.880007e-01,-2.465176e-01
100,2.646429e+01,6.859156e-01,4.220717e-01,3.592427e-01,1.150243e-01,-3.490953e-01,2.059636e-01,-5.557504e-01,3.218601e-02,1.205614e-01,-2.610664e-01,-2.425224e-01,-2.008766e-01
