#number,value,params_x0,params_x1,params_x2,params_x3,params_x4,params_x5,params_x6,params_x7,params_x8,params_x9,params_x10,params_x11
92,9.459960e+01,-5.381409e-01,-7.757879e-01,-8.058956e-02,2.097089e-01,6.573118e-01,3.610968e-01,-5.346789e-01,-8.803441e-01,-3.384480e-01,-5.597925e-01,3.100703e-01,-8.355961e-01
93,7.567941e+01,-5.415458e-01,-8.474373e-01,-3.027086e-01,2.131454e-01,7.955960e-01,2.082167e-01,-4.171532e-01,-9.139936e-01,-2.294649e-01,-8.863172e-01,3.799695e-01,-8.382544e-01
94,7.675903e+01,-8.854915e-01,9.097962e-01,3.921047e-02,2.674484e-01,5.702158e-01,5.765927e-01,-5.433039e-01,-7.321557e-01,-4.479604e-01,-5.491342e-01,6.020971e-01,-6.908049e-01
95,7.005387e+01,-6.615979e-01,-7.618665e-01,-2.164642e-01,-2.559447e-01,9.249639e-01,4.379381e-01,-1.375830e-01,-8.972552e-01,-5.935616e-01,-7.953609e-01,4.591298e-01,-9.683273e-01
96,8.266193e+01,-8.198904e-01,-9.432801e-01,-3.699099e-02,-5.190090e-02,8.283360e-01,3.474000e-01,-3.674862e-01,-6.030466e-01,-7.672088e-01,-9.262923e-01,5.548379e-01,-4.902433e-01
97,6.515455e+01,-7.434840e-01,-6.469771e-01,8.547161e-02,4.095229e-01,9.974097e-01,2.685147e-01,-3.463185e-01,-9.911036e-01,-6.736199e-02,-8.399958e-01,1.983798e-01,-4.796909e-01
98,8.411925e+01,-8.154123e-01,-9.234636e-01,-3.110363e-02,1.796587e-01,7.045212e-01,9.569930e-02,-2.730605e-01,-6.174961e-01,-8.638988e-01,-7.644123e-01,5.498229e-01,-5.101115e-01
99,7.517797e+01,-8.343638e-01,-9.324853e-01,-2.827829e-02,-1.865185e-01,7.212526e-01,9.054199e-02,-6.390900e-01,-6.166368e-01,-8.510263e-01,-6.557816e-01,5.610321e-01,-3.645510e-01
100,7.034633e+01,-5.694951e-01,-8.467412e-01,1.910559e-01,1.855703e-01,8.125733e-01,-2.192540e-01,-3.012379e-01,-7.282386e-01,-7.977031e-01,-7.462494e-01,4.935878e-01,-2.802937e-01
101,7.503515e+01,-7.991085e-01,-7.530814e-01,-1.084251e-01,1.423547e-01,8.376281e-01,3.180227e-01,-3.795137e-01,-7.844274e-01,-9.681618e-01,-8.705598e-01,4.065479e-01,-5.964194e-01
102,7.051317e+01,-8.950318e-01,-8.135492e-01,-5.810031e-02,7.194302e-02,7.728553e-01,3.471010e-01,-6.816490e-02,-5.637029e-01,-7.497888e-01,-5.888458e-01,6.171550e-01,-5.078257e-01
103,7.744413e+01,-7.377454e-01,-6.956217e-01,1.761267e-02,-5.125131e-03,6.801033e-01,-3.454864e-02,-1.616335e-01,-8.733409e-01,-8.423896e-01,-9.165498e-01,3.306418e-01,-4.438846e-01
104,7.533094e+01,-6.515234e-01,-8.590041e-01,-1.336586e-01,2.773851e-01,9.106663e-01,1.885645e-01,-2.484934e-01,-3.829111e-01,-4.128943e-01,-7.688008e-01,4.395393e-01,-5.810141e-01
105,7.809587e+01,-4.256080e-01,-5.992737e-01,-5.056900e-01,-4.428387e-02,5.426574e-01,1.149233e-01,-4.607525e-01,-6.699304e-01,-1.352323e-01,-8.353896e-01,5.258507e-01,-5.198437e-01
